value
Bio dam reunite
C-sx reunite
Contact decrease
Contact Increase
Contact increase first attempt
Decrease partners
Extended temporary separation
Feeder Box
General Comment
Increase partners
Increase partners first attempt
Infant socialization
Lactating foster
Non BSU pair
Nonlactating foster
Pair attempt
Pair change
Pair change-decrease
Pair change-increase
Pair monitor
Pair to trio/group
Permanent separation
Porch
remote monitoring
Reunite
Reunite after procedure
Reunite after TO
Same social group pair
Set up
STE
STF
STF DNPC
STF/E
STF/E DNPC
Temporary separation
TMB
TMB pair
TO as GC
trial contact
trial contact first attempt
Sep for Diet
STE.
STF.
STF DNPC.
STF/E.
STF/E DNPC.
