value
All to group
Contact decrease
Contact increase
Decrease contact
Decrease partners
End All Contact
End clear
End full contact
End GC
End group
End large mesh
Extended temporary separation.
Increase contact
Increase partners
N/A
Pair change-decrease.
Pair change-increase.
Pair to trio/group.
Permanent Separation.
Reunite from GC
Temporary separation.
TO with GC
Unsuccessful attempt
Unsuccessful set-up
