meaning
AFRICA
ARABIAN PENINSULA
ARGENTINA
BOLIVIA
BRAZIL
CAMBODIA
CARIBBEAN
CELEBES IS./INDONES
CENTRAL AFRICA
CENTRAL AMERICA
CHINA
COLUMBIA
CONGO
EAST AFRICA
EQUADOR
GHANA
INDIA
INDONESIA
JAPAN
KENYA
MALAGASY REPUBLIC
MAURITIUS, REPUBLIC OF
NIGERIA
ORIGIN UNKNOWN
PERU
PHILIPPINES
RUSSIA
SOUTH AMERICA
SPAIN
THIALAND
USA
